2019-09-21 08:52:40.904 INFO  DefaultFactory Logging to 'D:\Project\NServiceBus\eCommerce.Rest\App_Data\' with level Info
2019-09-21 11:39:59.211 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2019-09-21 11:39:59.215 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2019-09-21 11:39:59.225 INFO  NServiceBus.QueuePermissions Queue [private$\eCommerce.Rest.Timeouts] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 11:39:59.230 INFO  NServiceBus.QueuePermissions Queue [private$\eCommerce.Rest.TimeoutsDispatcher] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 11:39:59.236 INFO  NServiceBus.QueuePermissions Queue [private$\eCommerce.Rest.Retries] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 11:39:59.243 INFO  NServiceBus.QueuePermissions Queue [private$\eCommerce.Rest] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 11:43:14.526 INFO  DefaultFactory Logging to 'D:\Project\NServiceBus\eCommerce.Rest\App_Data\' with level Info
2019-09-21 11:43:14.665 INFO  NServiceBus.LicenseManager Trial for the Particular Service Platform has been active since 9/21/2019.
2019-09-21 11:43:14.807 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'DESKTOP-3477AFV\oldmonkey' to group 'Prestatiemetergebruikers' because the user is already in group.
2019-09-21 11:43:14.896 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 11:43:14.900 WARN  NServiceBus.QueuePermissions Queue [private$\audit] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 11:43:14.904 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2019-09-21 11:43:14.905 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2019-09-21 11:43:14.907 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2019-09-21 11:43:14.913 WARN  NServiceBus.QueuePermissions Queue [private$\eCommerce.Rest.Timeouts] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 11:43:14.918 WARN  NServiceBus.QueuePermissions Queue [private$\eCommerce.Rest.TimeoutsDispatcher] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 11:43:14.925 WARN  NServiceBus.QueuePermissions Queue [private$\eCommerce.Rest.Retries] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 11:43:14.931 WARN  NServiceBus.QueuePermissions Queue [private$\eCommerce.Rest] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 17:19:29.605 INFO  DefaultFactory Logging to 'D:\Project\NServiceBus\eCommerce.Rest\App_Data\' with level Info
2019-09-21 17:19:29.767 INFO  NServiceBus.LicenseManager Trial for the Particular Service Platform has been active since 9/21/2019.
2019-09-21 17:19:29.872 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'DESKTOP-3477AFV\oldmonkey' to group 'Prestatiemetergebruikers' because the user is already in group.
2019-09-21 17:19:30.209 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 17:19:30.235 WARN  NServiceBus.QueuePermissions Queue [private$\audit] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 17:19:30.240 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2019-09-21 17:19:30.241 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2019-09-21 17:19:30.241 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2019-09-21 17:19:30.257 WARN  NServiceBus.QueuePermissions Queue [private$\eCommerce.Rest.Timeouts] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 17:19:30.272 WARN  NServiceBus.QueuePermissions Queue [private$\eCommerce.Rest.TimeoutsDispatcher] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 17:19:30.297 WARN  NServiceBus.QueuePermissions Queue [private$\eCommerce.Rest.Retries] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 17:19:30.313 WARN  NServiceBus.QueuePermissions Queue [private$\eCommerce.Rest] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 17:25:35.318 INFO  DefaultFactory Logging to 'D:\Project\NServiceBus\eCommerce.Rest\App_Data\' with level Info
2019-09-21 17:25:35.438 INFO  NServiceBus.LicenseManager Trial for the Particular Service Platform has been active since 9/21/2019.
2019-09-21 17:25:35.517 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'DESKTOP-3477AFV\oldmonkey' to group 'Prestatiemetergebruikers' because the user is already in group.
2019-09-21 17:25:35.584 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 17:25:35.589 WARN  NServiceBus.QueuePermissions Queue [private$\audit] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 17:25:35.591 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2019-09-21 17:25:35.592 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2019-09-21 17:25:35.593 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2019-09-21 17:25:35.600 WARN  NServiceBus.QueuePermissions Queue [private$\eCommerce.Rest.Timeouts] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 17:25:35.605 WARN  NServiceBus.QueuePermissions Queue [private$\eCommerce.Rest.TimeoutsDispatcher] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 17:25:35.612 WARN  NServiceBus.QueuePermissions Queue [private$\eCommerce.Rest.Retries] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 17:25:35.617 WARN  NServiceBus.QueuePermissions Queue [private$\eCommerce.Rest] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 17:33:43.503 INFO  DefaultFactory Logging to 'D:\Project\NServiceBus\eCommerce.Rest\App_Data\' with level Info
2019-09-21 17:36:03.321 INFO  DefaultFactory Logging to 'D:\Project\NServiceBus\eCommerce.Rest\App_Data\' with level Info
2019-09-21 17:36:03.487 INFO  NServiceBus.LicenseManager Trial for the Particular Service Platform has been active since 9/21/2019.
2019-09-21 17:36:03.587 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'DESKTOP-3477AFV\oldmonkey' to group 'Prestatiemetergebruikers' because the user is already in group.
2019-09-21 17:36:03.702 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 17:36:03.707 WARN  NServiceBus.QueuePermissions Queue [private$\audit] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 17:36:03.712 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2019-09-21 17:36:03.713 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2019-09-21 17:36:03.713 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2019-09-21 17:36:03.721 WARN  NServiceBus.QueuePermissions Queue [private$\eCommerce.Rest.Timeouts] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 17:36:03.727 WARN  NServiceBus.QueuePermissions Queue [private$\eCommerce.Rest.TimeoutsDispatcher] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 17:36:03.733 WARN  NServiceBus.QueuePermissions Queue [private$\eCommerce.Rest.Retries] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 17:36:03.742 WARN  NServiceBus.QueuePermissions Queue [private$\eCommerce.Rest] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 18:14:14.463 INFO  DefaultFactory Logging to 'D:\Project\NServiceBus\eCommerce.Rest\App_Data\' with level Info
2019-09-21 18:14:14.641 INFO  NServiceBus.LicenseManager Trial for the Particular Service Platform has been active since 9/21/2019.
2019-09-21 18:14:14.740 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'DESKTOP-3477AFV\oldmonkey' to group 'Prestatiemetergebruikers' because the user is already in group.
2019-09-21 18:14:14.841 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 18:14:14.851 WARN  NServiceBus.QueuePermissions Queue [private$\audit] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 18:14:14.858 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2019-09-21 18:14:14.858 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2019-09-21 18:14:14.860 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2019-09-21 18:14:14.875 WARN  NServiceBus.QueuePermissions Queue [private$\eCommerce.Rest.Timeouts] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 18:14:14.881 WARN  NServiceBus.QueuePermissions Queue [private$\eCommerce.Rest.TimeoutsDispatcher] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 18:14:14.887 WARN  NServiceBus.QueuePermissions Queue [private$\eCommerce.Rest.Retries] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 18:14:14.895 WARN  NServiceBus.QueuePermissions Queue [private$\eCommerce.Rest] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 18:21:51.909 INFO  DefaultFactory Logging to 'D:\Project\NServiceBus\eCommerce.Rest\App_Data\' with level Info
2019-09-21 18:21:52.139 INFO  NServiceBus.LicenseManager Trial for the Particular Service Platform has been active since 9/21/2019.
2019-09-21 18:21:52.236 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'DESKTOP-3477AFV\oldmonkey' to group 'Prestatiemetergebruikers' because the user is already in group.
2019-09-21 18:21:52.380 INFO  NServiceBus.QueuePermissions Queue [private$\error] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 18:21:52.387 INFO  NServiceBus.QueuePermissions Queue [private$\audit] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 18:21:52.392 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2019-09-21 18:21:52.394 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2019-09-21 18:21:52.397 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2019-09-21 18:21:52.406 INFO  NServiceBus.QueuePermissions Queue [private$\eCommerce.Rest.Timeouts] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 18:21:52.420 INFO  NServiceBus.QueuePermissions Queue [private$\eCommerce.Rest.TimeoutsDispatcher] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 18:21:52.426 INFO  NServiceBus.QueuePermissions Queue [private$\eCommerce.Rest.Retries] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 18:21:52.433 INFO  NServiceBus.QueuePermissions Queue [private$\eCommerce.Rest] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 20:03:49.790 INFO  DefaultFactory Logging to 'D:\Project\NServiceBus\eCommerce.Rest\App_Data\' with level Info
2019-09-21 20:03:49.977 INFO  NServiceBus.LicenseManager Trial for the Particular Service Platform has been active since 9/21/2019.
2019-09-21 20:03:50.058 INFO  NServiceBus.PerformanceMonitorUsersInstaller Skipped adding user 'DESKTOP-3477AFV\oldmonkey' to group 'Prestatiemetergebruikers' because the user is already in group.
2019-09-21 20:03:50.150 WARN  NServiceBus.QueuePermissions Queue [private$\error] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 20:03:50.161 WARN  NServiceBus.QueuePermissions Queue [private$\audit] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 20:03:50.164 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs pulled from the input queue /sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2019-09-21 20:03:50.165 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs successfully processed / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2019-09-21 20:03:50.166 INFO  NServiceBus.PerformanceCounterHelper NServiceBus performance counter for '# of msgs failures / sec' is not set up correctly. To rectify this problem, consult the NServiceBus performance counters documentation.
2019-09-21 20:03:50.175 WARN  NServiceBus.QueuePermissions Queue [private$\eCommerce.Rest.Timeouts] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 20:03:50.180 WARN  NServiceBus.QueuePermissions Queue [private$\eCommerce.Rest.TimeoutsDispatcher] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 20:03:50.187 WARN  NServiceBus.QueuePermissions Queue [private$\eCommerce.Rest.Retries] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
2019-09-21 20:03:50.194 WARN  NServiceBus.QueuePermissions Queue [private$\eCommerce.Rest] is running with [Iedereen] and/or [NT AUTHORITY\ANONIEME LOGON] permissions. Consider setting appropriate permissions, if required by the organization. For more information, consult the documentation.
